id;shelf_no;book_title;author;publisher;edition;no_of_copies;no_of_copies_available;isb_no;department_id;branch_id
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;Principal Baht radical;Configuration mobile intuitive;26125;45797;5907;47660;58159
2;generate;Designer calculating;Overpass toolset;architectures synthesizing Industrial;Cotton Representative software;94635;50198;26287;81829;73961
3;Delaware;Alaska Games quantify;bleeding-edge payment violet;deposit;Mouse bus HTTP;81314;35041;81436;97887;78128
4;Berkshire Developer orchestrate;online withdrawal payment;Handmade Wooden Shoes;navigating Club Practical Granite Chicken;generate Health deposit;37325;50518;88395;18313;11906
5;e-business Czech Koruna back-end;Producer hard drive;mobile Product programming;Checking Account Industrial;back-end Future-proofed compressing;93660;15024;43564;19069;5681
6;Sharable Shoes;Director payment Cocos (Keeling) Islands;primary interface;Som;silver Clothing alarm;56810;2656;2840;57315;71873
7;Antigua and Barbuda Station;interface calculate Zloty;backing up;Auto Loan Account generate Health;Cambridgeshire;88197;70417;88289;96569;56507
8;EXE HDD Arkansas;payment Consultant SQL;olive Intelligent;Surinam Dollar interfaces bus;Assistant Pataca;62963;41461;81923;37812;81554
9;Rand Namibia Dollar;methodical Concrete Saint Helena Pound;Car SMS Optimization;hack migration District;Djibouti Franc;24468;87484;74410;95522;55083
10;program Technician New Taiwan Dollar;vortals;Ball composite;Iceland Avon;azure Intelligent Fresh Chicken wireless;12083;26108;50434;2313;27561
