id;issue_date;due_date;received_date;book_status;student_id;batch_id;department_id;branch_id
1;2020-08-06;2020-08-05;2020-08-06;Concrete benchmark;41942;77835;49262;51896
2;2020-08-05;2020-08-05;2020-08-06;PCI utilize;53147;62345;9726;51622
3;2020-08-06;2020-08-05;2020-08-06;mobile;25505;37985;20722;13764
4;2020-08-06;2020-08-05;2020-08-06;Manager Frozen;81433;42607;78527;37399
5;2020-08-05;2020-08-05;2020-08-06;bypass silver enterprise;53985;66692;27165;94105
6;2020-08-05;2020-08-05;2020-08-05;Handcrafted Steel Table communities Pa'anga;82142;74738;74322;24419
7;2020-08-05;2020-08-05;2020-08-06;Florida withdrawal Factors;60392;39425;76096;27057
8;2020-08-05;2020-08-05;2020-08-05;solid state Liaison overriding;59095;12540;27401;15739
9;2020-08-06;2020-08-05;2020-08-06;Keyboard Germany Maine;27452;15381;75260;70388
10;2020-08-05;2020-08-05;2020-08-06;Pitcairn Islands program;16880;87346;77338;66793
